ITL791-A,Volldampf im Geldspeicher
ITL798-A,Der Schatz des Pharaos
ITL800-B,Partner in der Not
ITL792-A,Schonungsloser Schuhkampf
ITL726-A,Der geheimnisvolle Geppi
ITL670-C,Das Gold der Wüste
ICWD63-A,Vorgeschichte
ITL821-C,Onkel Dagobert schlägt zurück
ITL822-AP,Phantomias ist wieder da!
ITL809-A,Die 3 Prüfungen in der Wüste
ITL804-A,Gold im Weltraum
ITL835-AP,Phantomias ist phänomenal
ICWD65-A,Vorgeschichte
ITL853-C,Die Goldruten-Farm
ITL850-B,Ausgerechnet Bananen!
ITL777-A,Die Weltraum-Kur
ITL775-A,Die Zauberfeder
ITL795-B,Der Blitzanzieher
ITL764-B,Der Zaubertrank
ITL854-A,Dem Tabu auf der Spur
ICWD66-A,Vorgeschichte
ITL832-A,Die Al Kassiber-Bande
ITL636-A,Zwei und zwei ist vier!
ITL796-B,Der Brunnen der Tritonen
ITL864-B,Diebstahl im Geheimarchiv
ITL856-B,Die Haushalt-Roboter
ITL849-AP,Der hohle Berg
ICWD67-A,Vorgeschichte
ITL767-B,Ein Aprilscherz mit Folgen
ITL851-B,Der Mohr von Venedig
ITL794-B,Das magische Auge
ITL884-C,Ein kostenloser Südsee-Urlaub
ITL883-B,Ein knallharter Wettkampf
ITL829-A,Abenteuer im Mexiko
ICWD69-A,Vorgeschichte
ITL807-DP,Geheimnisvolle Klänge
ITL813-A,Die Copperbande
ITL824-C,Der trickreiche Doppelraub
ITL838-B,Der verbotene Schatz
ITL866-A,Der Rote Drache
ICWD70-A,Vorgeschichte
ITL854-C,Die eiskalte Stoppelbande
ITL861-C,Das Geheimnis der Meerjungfrau
ITL862-A,Donald und die Tonne des Diogenes
ITL863-A,Der Kalif des Halbmonds
ITL855-A,Die Münze am Mast
ITL863-C,Der eingebaute Abwehrmechanismus
ICWD71-A,Vorgeschichte
ITL872-A,Onkel Dagobert und die Smaragde von Hatschipur
ITL880-A,Onkel Dagobert auf Sensationssuche
ITL867-A,Onkel Dagobert und das Sauriermoos
ITL864-A,Onkel Dagobert und die Inkaziege
ITL865-A,Onkel Dagobert und die Physik
ITL871-A,Onkel Dagobert und das Zauberelixier
ICD2-A,Vorgeschichte
ITL859-C,Die Nichtbesteigung des Mount Everest
ITL878-B,Der Goldzylinder
ITL873-AP,Der Schatz König Drachoberts des Großen
ITL879-A,Der vertrackte Vertrag
ITL873-C,Unterwasserjagd
ITL878-A,Der Held aus der Maschine
ICD4-A,Vorgeschichte
ITL743-B,Der Kasel-Dieb
ITL894-AP,Das Meeresungeheuer
ITL603-B,In geheimer Mission
ITL612-A,Bankraub mit Kälteschock
ITL619-B,Auf Piratenjagd
ITL902-A,Zirkus Kleptomani
ICWD6-A,Vorgeschichte
ITL167-BP,Die Million in Dosen
WUS17-02,Die Bombastium-Expedition
WUS5-02,Heiße Rhythmen für Atlantis
WUS20-01,Bongo-Fieber in Kumbalesien
ITL178-AP,Das See-Ungeheuer
ICD10-A,Vorgeschichte
ITL810-A,Der Tiger mit der blauen Schleife
ITL661-B,Das Überschall-Sparflugzeug
ITL820-D,Die fliegenden Geldschränke
ITL842-A,Die Gerissenen schlagen zu
ITL783-B,Der antike Helm
ITL633-AP,Die grüne Sphinx
ICD6-A,Vorgeschichte
ITL687-B,Im Kittchen ist kein Zimmer frei
ITL156-AP,Der Löwenbändiger
ITL734-B,Goldene Träume
ITL756-C,Die Erdölfresser schlagen zu
ITL767-A,Schach dem Rubin
ITL159-AP,Die Millionärseisenbahn
S72265,Die Abkürzung
ICD8-A,Vorgeschichte
ITL898-A,Der hilfreiche Wal
ITL713-A,Sag die Wahrheit!
ICWD68-A,Sport zahlt sich aus
ITL757-C,Das Damoklesschwert
ITL897-A,Goldene Gesundheit
ITL742-A,Der Regenklau
ITL895-B,Atlantis in Gefahr
ICD12-A,Vorgeschichte
ITL906-C,Mit den Waffen einer Frau
ITL923-AP,Phantomias gegen Phantomime
ITL884-AP,"Phantomias und die ""Schlafende Schöne"""
ITL875-AP,Spuk im Dreitürmekastell
ICWD11-A,Vorgeschichte
ITL226-BP,"Donald, Prinz von Duckenmark"
ITL223-AP,Im Kielwasser der Schönen Leokadia
ITL219-AP,El Cid Pampeador
ICD14-A,Vorgeschichte
ITL687-A,Onkel Dagobert und die Millionenwette
ITL733-A,Donald und die Rennschnecken
ITL769-B,Der Segen der Technik
ITL1074-B,Donald und das Probe-Erbe
ITL732-A,Donald und die Zauberschuhe
ITL916-C,Donalds Traum vom Reichtum
ITL744-B,Die Schneespiele
ICWD1-A,Vorgeschichte
ITL162-AP,Die drei Musketiere
ITL137-AP,Don Quichotte
ITL935-C,"Ein Geschenk, das hinhaut!"
ITL919-A,Bei den Nachtwandler-Indianern
ITL909-B,Die gekaufte Erbschaft
ICD16-A,Vorgeschichte
ITL904-AP,Der schwimmende Inseltresor
ITL916-B,Eine windige Angelegenheit
ITL903-A,Der Strahlenkäfig
ITL906-B,Schockschwerenot
ITL887-C,Stürmische Geheimnisse
ITL899-A,Unternehmen Kürbisan
ICWD2-A,Vorgeschichte
ITL116-AP,Das doppelte Geheimnis des Schwarzen Phantoms
UMMW642,Der Schrecken des Meeres
YM126,Das verkorkste Gespenst
ITL13-AP,Die gigantischen Grillen
S71374,Ein tragisches Ende
ICD18-A,Vorgeschichte
ITL755-D,Die Olmekenkugeln
ITL722-CP,Der Zauberrubin
ITL780-B,Der Pumpentrick
ITL605-B,Verräterische Düfte
ITL905-A,Der verschwundene Transporter
ITL889-A,Doppelt genäht hält besser
ICD22-A,Vorgeschichte
ITL937-AP,Operation Galeone!
ITL913-C,"Onkel Dagobert und der ""Geldwahngegner"""
ITL929-A,Donald als Spion
ITL911-C,Onkel Dagoberts Streifzug durch die Jahrhunderte
ITL932-A,Das verschwundene Entenhausen
ITL779-B,Donald und der Geigenunterricht
ICD24-A,Vorgeschichte
ITL845-B,"Klunker, made in Tollyhood"
ITL610-AP,Der Tomatenmagnet
ITL844-C,Das Energiewunder
ITL881-A,Der Karate-Arm
ITL822-C,Verräterischer Apfelsaft
ITL859-B,Die Werbekampagne
ICWD8-A,Vorgeschichte
ITL202-AP,Kampf um die Reistafel
ITL210-AP,Reingold
ITL180-AP,Baron Donald von Münchhausen
ICWD14-A,Vorgeschichte
ITL222-AP,Auf den Spuren der Indianer
ITL140-BP,Der große Coup
ITL212-BP,Die Magnetklaue schlägt wieder zu
ITL208-AP,Der gestohlene Sheriffstern
ICD26-A,Vorgeschichte
ITL785-A,Onkel Dagobert und die Mattscheibe
ITL788-B,Das gefräßige Rentier
ITL786-A,Ambrosia für Onkel Dagobert
ITL797-B,Der gelbe Himmelskörper
ITL940-AP,Der Helm des Staatsoberhaupts
ITL944-A,Das Wohnungsbeschaffungsprogramm
ICWD13-A,Vorgeschichte
ITL216-B,Der Südsee-Yeti
ITL190-AP,Die Insel der betrübten Affen
ITL144-AP,Eine Wette mit Konsequenzen
ITL950-A,Geisterstunde auf Schloß Schreckenstein
ITL96-AP,Der verlorene Ziegelstein
ICD36-A+ICD30-A,Vorgeschichte
ITL917-C,Galante Duelle
ITL793-B,Der Lampen-Trick
ITL925-D,Die Helden des Weltraums
ITL790-B,Heimfahrt auf Umwegen
ITL938-B,Der entführte Rennfahrer
ITL642-B,Der Schmelzstrahl
ITL975-A,Wer andern eine Grube gräbt...
ICD38-A,Vorgeschichte
ITL982-B,Der Stärke-Regen
ITL967-A,Probe aufs Exempel
ITL920-A,Abenteuer in Taba-Taba
ITL902-B,Die letzte Nebukadnezum
ITL870-A,Eine lohnende Reise
ITL894-C,Die Schatzinsel
ITL892-B,Was zu beweisen war
ICD40-A,Vorgeschichte
ITL986-A,Der Wolkenkratzer-Wettkampf
ITL1015-AP,Der Geist aus der Ming-Vase
ITL1020-B,Das Geheimnis des Reibeisens
ITL1003-B,Ralf der Rächer
ITL982-A,Donald als Hilfssheriff
ITL937-B,Die Zerrspiegel
ICD42-A,Vorgeschichte
ITL915-C,Die verschwundene Herde
ITL914-C,Mein Name ist Blütenmeer!
ITL903-C,Der Saure-Gurken-Dieb
ITL911-B,Das verkaufte Haus
ITL867-B,Eine Bombensache
ITL620-BP,Das falsche Gespenst
ZM77-11-27,Bärenhunger
ICWD15-A,Vorgeschichte
ITL250-AP,Linsen aus Babylonien
ITL228-AP,Die Legende von Donald Hood
ITL239-BP,Sheriff wider Willen
ITL236-CP,Die Entenhausener Mauer
ICD44-A,Vorgeschichte
ITL976-A,Überfall an der Geisterbrücke
ITL999-A,Die eisige Glücks-Melodie
ITL907-A,Der kopflose Totempfahl
ITL1275-AP,Phantomias greift durch!
ITL1285-BP,Phantomias und die Schule
S78175,Die Störenfriede
ICWD12-A,Vorgeschichte
ITL206-AP,In der vierten Dimension
ITL183-AP,Die Kralle der Kali
ITL170-AP,Der Azteken-Schatz
ITL158-AP,Ein entfernter Verwandter
ITL542-AP,AGENT QQ7
ITL993-A,Käpt´n Golds Schätze
ITL992-B,Ungewohnte Geschäftsgebaren
ITL915-A,Die Gesetze der Philatelie
ITL989-A,Das verlorene Glück
WJW25-01,Ein wundersamer Fischzug
ITL909-A,Das verschwundene Grautier
ITL906-AP,Einrätselhafter Roboter
ITL986-C,Das numismatische Duell
ITL1272-AP,Gefährliche Versteckspiele
ITL990-B,Onkel Dagobert und der Reklamegag
ITL1270-AP,Das Rhodiumfieber
ITL1215-B,So war der Wilde Westen oder - Die Caracho-Brüder
S72374,Der Wunderbrunnen
S72018,Das Bratenrezept
ICD52-A,Vorgeschichte
S71123,Schatzsuche mit Hindernissen
S71160,Die Schatzsuche geht weiter
S71206,Das Ende der Schatzsuche
ITL283-A,Eisberge am Äquator
WDG33-01,Die Schattenseiten der Kochkunst
ITL243-A,Der letzte Gulu-Gulu
ITL272-A,Die doppelte Entführung
D3853,Der Schlauch mit dem Schlauch
ITL1209-BP,Ärger mit den Vorfahren
ZM69-12-28,"Wie Minni auszog, das Fürchten zu lernen"
ITL1247-BP,Der König von Entenhausen
ZM73-07-08,Micky und das kleinere Übel
ITL1302-AP,Dem Täter auf der Spur
ITL1313-B,Micky Maus und die Generalprobe
S73206,Fahrradrennen mit Hindernissen
ZM43-06-13,Transportprobleme
ITL266-A,Die Abenteuer des Donaldin Temuzin
ITL1317-AP,Der Kampf ums Gold
ITL833-B,Der Umweltschützer
ITL270-A,Duck Dorado der Goldkönig
ICWD54-A,Das erste Fußballspiel der Welt
ICWD54-B,"Donald, der Libero"
S79257,Donald und der Traumjob
S74042,"Donald, der Schrecken aller Hunde"
ITL969-B,Zuviel Geld ist ungesund
ITL940-B,Die versteinerte Ananas
ITL1319-BP,"Phantomias contra ""Schwarze Maske"""
S72435,Eine unnachahmliche Idee
ITL1297-AP,Verschollen im Weltraum
ZD45-10-21,Das verschmähte Vogelbad
ITL1313-AP,Die schwimmenden Felder
ZD64-01-26,Donald und die Sicherheitskette
ITL984-B,Onkel Dagobert und die Verschwörung
S72059,"Donald, der Börsenspekulant"
ITL1227-BP,Der Autoklau geht um
S74084,Eine wurmige Angelegenheit
ITL952-A,Auftrag für die Alleskönner
ITL538-C,Geheimnissvolle Einbrüche
ITL936-A,Eine rätselhafte Anzeige
ITL959-A,Die hypnotisierten Briefe
ITL830-C,Indianer ehrenhalber
ZM73-10-14,Schwere Zeiten
ITL1297-BP,Die Botschaft des Königs
S79005,Das Zyklopenauge
YD68-12-07,Die Preiswerte Haushälterin
ITL896-A,Der Zauberwald
ITL500-A,Die Kehrseite der Medaille
ITL299-A,Der Kampf um den 100-Taler-Schein
ITL793-A,Donald und der Wundergürtel
ZD45-11-25,Der Schlaumeier
ITL543-B,Gustav und das falsche Horoskop
ITL590-A,Geschäft ist Geschäft
ITL593-B,Daniel Düsentriebs Superfäustling
YD69-02-01,Donald und die Hundedressur
WBB29-01,Die Tücke des Objekts
ICD32-A+ICD56-A,Vorgeschichte
ITL977-A,"Onkel Dagobert und der ""Hecker""!"
ITL977-B,Der Klub der Besserungswilligen
ITL946-A,Onkel Dagobert und der Fluch des Goldes
ITL326-A,Bank-Krach im Hause Duck
S75122,Das Ende eines Traumes
D5145,Ideen muß man haben
ITL955-AP,Onkel Dagoberts schwimmende Raffinerie
ITL989-B,Das schicksalsschwere Horoskop
ITL617-AP,Das grüne Feuer
ZM69-12-21,Nachbarschaftshilfe
ITL641-B,Den Pelzdieben auf der Spur
ITL1324-B,Wer ist der Meisterschütze?
S73166,Eine Hand wäscht die andere
ITL443-A,Die Musterkofferbande
Z?M?16,Wer andern eine Grube gräbt ...
ITL1134-A,Die Falschmünzerei
ITL407-B,Das geklaute Manuskript
ZM69-12-14,Zeugnistag
S79055,Anglerlatein
S74056,Der Kunde ist König
ITL560-C,Wie man einen Einbrecher fängt
ICD,Vorgeschichte
ITL1140-AP,Der schwarze Korsar
ITL1086-AP,Alte Liebe rostet nicht
ITL1253-B,Carmen olé
ITL1254-B,Holde Aida
ITL1261-B,Die schöne Francesca
ITL1096-AP,Die Perle von Labuan
ITL683-B,Die falsche Reporterin
ZD60-10-23,Selbst ist der Mann!
ITL718-B,Kampf um die Krone
ITL620-A,Der räuberische Kondor
ITL719-C,Die goldene Laterne
ITL613-A,Ein raffinierter Schwindel
ITL758-A,Onkel Dagobert hoch drei
ITL722-B,Im Netz der Spinne
S71193,Segen der Technik
WBBVS12-01,Eine gewinnbringende Zeitreise
ITL595-C,Der schwarze Spiegel
ITL1001-A,Die Landung auf dem Mond
ZM69-12-07,Frühlingsgefühle
ITL648-A,Micky und die Raumstation
ZM76-06-13,Frisch gekauft ist schnell gefangen!
ITL672-B,Das Überraschungsei
ITL630-A,Das Postkutschenrennen
